,Unnamed: 0,anhui,beijing,chongqing,fujian,gansu,guangdong,guangxi,guizhou,hainan,hebei,heilongjiang,henan,hubei,hunan,jiangsu,jiangxi,jilin,liaoning,shaanxi,shandong,shanghai,shanxi,sichuan,taiwan,tianjin,xinjiang,yunnan,zhejiang,south korea,france,australia,malaysia,brazil,germany,uk,italy,belgium,spain,sweden,finland,iran,austria,switzerland,norway,netherlands,denmark,ireland,portugal,washington,california,massachusetts,texas,florida,new york
64,64,984,406,570,295,121,1336,250,144,162,310,469,1250,61201,1014,631,934,92,124,242,752,331,133,536,29,133,73,172,1222,4144,3281,118,199,6,3547,140,9362,547,5367,16,10,9625,9,131,,,,5,22,1,6,,,,
65,65,984,408,570,295,123,1337,250,144,162,310,469,1250,61732,1014,631,934,92,124,242,752,334,133,536,29,133,73,172,1222,4528,3281,118,215,6,5678,140,10361,675,7015,16,10,10457,9,131,,,,5,43,1,6,,,,
66,66,984,410,570,295,125,1341,250,144,162,310,469,1251,62098,1014,631,934,92,124,242,752,334,133,536,30,133,73,172,1225,4811,5700,118,259,6,3144,140,10950,858,9357,16,10,11133,225,1530,,,,5,43,1,6,,,,
67,67,984,412,570,295,125,1349,250,144,162,310,469,1251,62565,1014,631,934,92,124,242,752,334,133,536,30,133,73,172,1225,5033,5700,224,320,6,4227,140,12384,1063,12285,18,10,11679,225,1595,,,,5,43,1,6,,,,
68,68,984,415,570,295,125,1351,250,144,162,310,469,1251,62882,1014,631,935,92,124,242,753,338,133,536,39,133,73,172,1225,5228,7202,226,388,6,5024,140,13030,1359,14709,18,10,12391,479,1823,,,,5,43,1,6,,,,
69,69,984,418,570,295,125,1353,250,144,162,310,469,1251,63153,1014,631,935,92,124,242,753,338,133,536,39,133,73,172,1226,5408,7202,226,479,120,6522,135,14620,1527,16780,18,10,13911,636,2105,,,,5,43,1,6,,,,
70,70,984,418,570,295,125,1357,250,144,162,310,469,1251,63326,1014,631,935,92,124,242,753,343,133,536,39,135,73,172,1226,5567,7882,337,537,127,7635,135,15729,1696,19259,16,,14656,1095,1823,,,,5,43,1,6,,,,
71,71,984,424,570,299,127,1365,252,144,162,310,469,1251,63326,1014,631,935,92,124,242,753,343,133,537,39,135,73,172,1228,5828,7882,422,645,127,11722,135,16847,2132,22647,103,,15473,1436,4013,,,894,5,43,1,6,,,,
72,72,984,434,570,300,127,1368,252,144,162,310,469,1251,63612,1014,632,935,92,124,244,754,343,133,537,50,140,73,172,1228,6021,10935,422,767,127,13597,191,18278,2495,26743,103,,16711,1749,4846,,,1089,10,68,1,6,,,,
73,73,984,438,570,301,131,1378,252,144,162,310,469,1251,63762,1014,632,935,92,125,245,755,356,133,538,50,140,73,172,1229,6325,14008,636,827,127,13597,209,19758,2872,30513,106,,17935,2022,5657,,,1093,10,68,1,6,,,,
74,74,984,438,570,301,131,1378,252,144,162,310,469,1251,63762,1014,632,935,92,125,245,755,356,133,538,50,144,73,172,1229,6463,14008,636,915,127,23192,,20996,3247,34219,205,,17935,2507,6415,,,1283,25,75,1,6,,,,
75,75,984,443,570,305,132,1395,252,144,162,310,469,1252,64014,1014,633,935,92,129,246,755,389,133,540,54,144,73,172,1230,6598,16183,687,1005,127,25280,,21815,3751,34219,205,,22011,2998,7298,,,1327,25,75,1,6,,,,
76,76,984,448,570,305,132,1401,252,144,162,312,469,1252,64073,1014,633,935,92,131,246,755,406,133,541,57,151,73,173,1230,6694,17250,2432,1241,127,25280,,22837,3986,40437,219,,24236,3441,8056,,,1378,25,140,1,6,,,,
77,77,984,455,570,307,133,1412,252,144,162,312,470,1252,64142,1014,633,935,92,131,246,755,417,134,541,61,152,73,173,1232,6776,19337,2547,1321,127,31432,,24392,4157,43208,333,,27039,4046,8704,,,1491,25,184,1,6,,,,
78,78,984,455,570,308,135,1412,252,144,162,312,470,1252,64142,1014,633,935,93,131,246,755,417,134,541,61,152,73,173,1232,6776,21254,2813,1487,127,32814,,26491,4681,48021,339,,29812,4512,9800,,,1621,25,196,1,6,,,,
