,Unnamed: 0,anhui,beijing,chongqing,fujian,gansu,guangdong,guangxi,guizhou,hainan,hebei,heilongjiang,henan,hubei,hunan,jiangsu,jiangxi,jilin,liaoning,shaanxi,shandong,shanghai,shanxi,sichuan,taiwan,tianjin,xinjiang,yunnan,zhejiang,south korea,france,australia,malaysia,brazil,germany,uk,italy,belgium,spain,sweden,finland,iran,austria,switzerland,norway,netherlands,denmark,ireland,portugal,washington,california,massachusetts,texas,florida,new york
22,22,910,366,518,279,87,1241,222,135,157,265,395,1169,48206,968,570,872,84,116,229,506,313,126,451,18,113,63,155,1145,28,11,15,18,,16,9,3,1,2,1,1,,,,,,,,,1,8,1,,,
23,23,934,372,529,281,91,1261,226,140,158,283,418,1184,51986,988,593,900,86,117,230,519,318,126,463,18,120,65,162,1155,28,11,15,19,,16,9,3,1,2,1,1,,,,,,,,,1,8,1,1,,
24,24,950,375,537,285,90,1294,235,143,162,291,425,1212,54406,1001,604,913,88,119,232,530,326,127,470,18,121,70,168,1162,28,11,15,21,,16,9,3,1,2,1,1,,,,,,,,,1,8,1,1,,
25,25,962,380,544,287,90,1316,237,144,162,300,445,1231,56249,1004,617,925,89,120,236,537,328,128,481,18,122,71,169,1167,29,12,15,22,,16,9,3,1,2,1,1,,,,,,,,,1,8,1,1,,
26,26,973,381,551,290,90,1322,238,146,163,301,457,1246,58182,1006,626,930,89,121,240,541,332,129,495,20,125,75,171,1171,30,12,15,22,,16,9,3,1,2,1,1,,,,,,,,,1,8,1,1,,
27,27,982,387,553,292,91,1328,242,146,163,302,464,1257,59989,1007,629,933,89,121,240,543,333,130,508,22,127,76,172,1172,31,12,15,22,,16,9,3,1,2,1,1,,,,,,,,,1,8,1,1,,
28,28,986,393,555,293,91,1331,244,146,163,306,470,1262,61682,1008,631,934,90,121,242,544,333,131,514,22,128,76,173,1174,46,12,15,22,,16,9,3,1,2,1,1,,,,,,,,,1,8,1,1,,
29,29,987,395,560,293,91,1332,245,146,168,307,476,1265,62031,1010,631,934,91,121,245,546,333,131,520,24,130,76,172,1175,82,12,15,22,,16,9,3,1,2,1,1,,,,,,,,,1,8,1,1,,
30,30,988,396,567,293,91,1333,246,146,168,308,479,1267,62662,1011,631,934,91,121,245,748,334,132,525,24,131,76,174,1203,156,12,15,22,,16,9,3,1,2,1,1,5,,,,,,,,1,9,1,1,,
31,31,988,396,567,293,91,1333,246,146,168,308,479,1267,62662,1011,631,934,91,121,245,749,334,132,525,26,132,76,174,1203,156,12,15,22,,16,9,3,1,2,1,1,5,,,,,,,,1,9,1,1,,
32,32,989,399,573,293,91,1342,249,146,168,311,480,1271,64084,1016,631,934,91,121,245,754,335,132,526,26,135,76,174,1205,556,12,17,22,,16,9,79,1,2,1,1,28,,,,,,,,1,10,1,1,,
33,33,989,399,575,293,91,1342,251,146,168,311,480,1271,64084,1016,631,934,93,121,245,754,335,132,526,28,135,76,174,1205,602,12,17,22,,16,13,157,1,2,1,1,43,,,,,,,,1,10,1,1,,
34,34,989,400,576,294,91,1347,252,146,168,311,480,1271,64786,1016,631,934,93,121,245,755,335,133,529,30,135,76,174,1205,893,12,22,22,1,16,13,232,1,3,1,1,61,,,,,,,,1,10,1,1,,
35,35,989,400,576,294,91,1347,252,146,168,312,480,1271,65187,1016,631,934,93,121,245,756,336,133,531,32,135,76,174,1205,1146,14,23,22,1,18,13,323,1,7,1,1,95,2,1,,,,,,1,10,1,1,,
36,36,989,410,576,296,91,1347,252,146,168,317,480,1272,65596,1017,631,934,93,121,245,756,337,133,534,32,135,76,174,1205,1595,18,23,22,1,27,13,470,1,13,2,2,139,2,1,,,,,,1,9,1,1,,
37,37,990,410,576,296,91,1348,252,146,168,318,480,1272,65914,1017,631,935,93,121,245,756,337,133,538,32,136,76,174,1205,2022,38,23,23,1,48,16,653,1,25,7,2,270,3,9,1,,,,,1,9,1,1,,
38,38,990,410,576,296,91,1348,252,146,168,318,480,1272,65914,1017,631,935,93,121,245,756,337,133,538,34,136,76,174,1205,2337,41,24,25,1,53,19,653,1,25,7,2,388,5,15,4,2,,,,1,9,1,1,,
