,Unnamed: 0,anhui,beijing,chongqing,fujian,gansu,guangdong,guangxi,guizhou,hainan,hebei,heilongjiang,henan,hubei,hunan,jiangsu,jiangxi,jilin,liaoning,shaanxi,shandong,shanghai,shanxi,sichuan,taiwan,tianjin,xinjiang,yunnan,zhejiang,south korea,france,australia,malaysia,brazil,germany,uk,italy,belgium,spain,sweden,finland,iran,austria,switzerland,norway,netherlands,denmark,ireland,portugal,washington,california,massachusetts,texas,florida,new york
39,39,6,8,6,1,2,7,2,2,5,6,13,22,2761,4,,1,1,1,1,6,3,,3,1,3,3,2,1,17,2,1,,,,,29,,,,,43,,,,,,,,1,,,,,
40,40,6,8,6,1,2,7,2,2,5,6,13,22,2803,4,,1,1,1,1,6,3,,3,1,3,3,2,1,26,2,1,,,,,41,,,,,54,,,,,,,,2,,,,,
41,41,6,8,6,1,2,7,2,2,5,6,13,22,2834,4,,1,1,1,1,6,3,,3,1,3,3,2,1,29,3,1,,,,,52,,,,,66,,,,,,,,5,,,,,
42,42,6,8,6,1,2,7,2,2,5,6,13,22,2871,4,,1,1,1,1,6,3,,3,1,3,3,2,1,33,4,1,,,,,79,,1,,,77,,,,,,,,6,,,,,
43,43,6,8,6,1,2,7,2,2,6,6,13,22,2902,4,,1,1,1,1,6,3,,3,1,3,3,2,1,39,4,2,,,,,107,,2,,,92,,,,,,,,7,,,,,
44,44,6,8,6,1,2,7,2,2,6,6,13,22,2931,4,,1,1,1,1,6,3,,3,1,3,3,2,1,43,7,2,,,,1,148,,3,,,107,,1,,,,,,7,,,,,
45,45,6,8,6,1,2,7,2,2,6,6,13,22,2959,4,,1,1,1,1,6,3,,3,1,3,3,2,1,44,9,2,,,,2,197,,5,,,124,,1,,1,,,,13,1,,,,
46,46,6,8,6,1,2,7,2,2,6,6,13,22,2986,4,,1,1,1,1,6,3,,3,1,3,3,2,1,50,16,3,,,,2,233,,10,,,145,,1,,1,,,,16,1,,,2,
47,47,6,8,6,1,2,8,2,2,6,6,13,22,3007,4,,1,1,1,1,6,3,,3,1,3,3,2,1,53,19,3,,,,3,366,,17,,,194,,2,,3,,,,18,1,,,2,
48,48,6,8,6,1,2,8,2,2,6,6,13,22,3024,4,,1,1,1,1,6,3,,3,1,3,3,2,1,57,25,3,,,2,5,463,,28,,,237,,2,,3,,,,22,2,,,2,
49,49,6,8,6,1,2,8,2,2,6,6,13,22,3046,4,,1,1,1,1,6,3,,3,1,3,3,2,1,80,33,3,,,2,6,631,,35,,,291,,3,,4,,,,24,2,,,2,
50,50,6,8,6,1,2,8,2,2,6,6,13,22,3056,4,,1,1,1,2,6,3,,3,1,3,3,2,1,66,48,3,,,3,8,827,3,55,1,,354,,4,,5,,1,,29,4,,,2,
51,51,6,8,6,1,2,8,2,2,6,6,13,22,3062,4,,1,1,1,2,7,3,,3,1,3,3,2,1,68,61,3,,,6,10,1016,3,86,1,,429,1,7,1,5,,1,,31,4,,,2,
52,52,6,8,6,1,2,8,2,2,6,6,13,22,3075,4,,1,1,1,2,7,3,,3,1,3,3,2,1,72,79,3,,,8,10,1266,3,133,1,,514,1,11,1,10,,1,,37,5,,,2,
53,53,6,8,6,1,2,8,2,2,6,6,13,22,3085,4,,1,1,1,2,7,3,,3,1,3,3,2,1,75,91,3,,,8,21,1441,4,195,2,,611,1,13,3,12,,2,,40,6,,,3,2
54,54,6,8,6,1,2,8,2,2,6,6,13,22,3099,4,,1,1,1,2,7,3,,3,1,3,3,2,1,75,127,5,,,12,35,1809,4,288,3,,724,1,13,3,20,3,2,,42,6,,,3,6
55,55,6,8,6,1,2,8,2,2,6,6,13,22,3111,4,,1,1,1,3,7,3,,3,1,3,3,2,1,83,148,6,,,13,53,2158,5,309,3,,853,3,13,3,24,4,2,1,48,7,,,3,8
56,56,6,8,6,1,2,8,2,2,6,6,13,22,3122,4,,1,1,1,3,7,3,,3,1,3,3,2,1,84,175,6,2,1,26,71,2503,10,533,8,,988,3,19,3,43,4,2,1,53,9,,1,6,12
